Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,suma,classes,ncloc,functions,duplicated_lines,test_errors,skipped_tests,coverage,complexity,comment_lines,comment_lines_density,duplicated_lines_density,files,directories,file_complexity,violations,duplicated_blocks,duplicated_files,lines,public_api,statements,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,lines_to_cover,line_coverage,conditions_to_cover,branch_coverage,sqale_index,sqale_rating,false_positive_issues,open_issues,reopened_issues,confirmed_issues,sqale_debt_ratio,new_sqale_debt_ratio,code_smells,new_code_smells,bugs,effort_to_reach_maintainability_rating_a,reliability_remediation_effort,reliability_rating,security_remediation_effort,security_rating,cognitive_complexity,new_development_cost,security_hotspots,security_review_rating,,%Toxicos
4,0.0833333333333333,1709,1,100,1814.08333333333,2746,150425,13115,35006,0,0,35.7,27307,41948,21.8,12.4,2521,,11,10274,1302,455,282240,,60159,43,2308,2824,4813,286,71695,38.3,28772,29.2,78749,1,1,10273,1,0,1.7,0,10044,0,216,0,2603,3,225,5,23576,0,246,5,864337.1,2
52,0.183098591549296,1705,6,3.05795899016238,1766.24105758171,2746,150425,13115,35006,0,0,35.6,27307,41948,21.8,12.4,2521,,11,10279,1302,455,282240,,60159,43,2308,2829,4813,286,71695,38.2,28772,29.2,78899,1,1,10278,1,0,1.7,0,10049,0,216,0,2603,3,225,5,23576,0,246,5,864506.9,2
14,0.194444444444444,1653,4,22.2634508348794,1693.45789527932,2734,149867,13078,34838,0,0,0,27234,41918,21.9,12.5,2510,,11,10845,1294,451,279024,,60015,51,2336,2904,5274,280,72676,0,0,0,133295,1,0,10845,0,0,3,4.85958485958486,10629,0,200,0,2323,5,270,5,23503,16380,252,1,905091.25958486,1
0,0,1639,0,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.444444444444444,4813,2,37.5,4856.94444444444,6192,342231,27231,34986,0,0,50.3,72655,53037,13.4,6,5899,,12.3,22151,2175,862,583009,,146251,2,3073,4264,14306,506,163621,54.2,92549,43.3,136687,1,0,22151,0,0,1.3,0,21958,0,179,0,2236,4,210,2,78845,540,0,1,1837994.8,3
68,0.345177664974619,4809,17,2.65218489517555,4896.99736256015,6192,342231,27231,34986,0,0,50.3,72655,53037,13.4,6,5899,,12.3,22151,2175,862,583009,,146251,2,3073,4264,14306,506,163621,54.2,92549,43.4,136687,1,0,22151,0,0,1.3,0,21958,0,179,0,2236,4,210,2,78845,540,0,1,1837994.9,2
133,0.810975609756098,4741,17,1.78984593137004,4893.60082154113,6141,340801,27090,35138,0,0,49.4,72325,52862,13.4,6.1,5851,,12.4,23569,2177,864,580004,,145792,2,3123,5068,14870,506,163022,53.3,92193,42.6,182567,1,0,23569,0,0,1.8,0.548302872062663,23262,0,165,0,2026,4,1490,2,78761,34470,0,1,1917895.54830287,1
0,0,4608,0,0,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,6.82857142857143,3103,9,1.50971973914368,3359.33829116772,2923,549902,34023,13142,0,54,24.1,78366,63868,10.4,1.7,3224,,29,17258,556,168,783618,,259030,600,3411,5731,7195,321,190166,25.3,59925,20.5,181146,1,5,17258,0,0,1.1,0.987808835117972,16514,0,622,0,7065,5,2304,5,77996,215730,107,5,2592357.08780884,1
596,5.57009345794393,2864,15,0.410058672737078,3480.98015213068,2896,547875,33883,12806,0,54,24.3,78093,63784,10.4,1.6,3194,,29.2,17301,538,161,780826,,258527,594,3448,5712,7223,324,189648,25.4,59862,20.6,181057,1,4,17301,0,0,1.1,1.21917997275777,16559,0,620,0,7100,5,2304,5,77883,1666530,110,5,4036346.81917997,1
408,5.74647887323944,2268,10,0.704255181149205,2692.45073405439,2857,528661,33982,12716,0,85,24.6,79223,64906,10.9,1.6,3159,,30,23992,541,173,773122,,265734,662,3815,9230,9766,519,186369,25.9,59866,20.7,214490,1,0,23992,0,0,1.4,0.703161730136342,23221,0,654,0,7256,5,2164,5,79538,340320,143,5,2751287.80316173,1
415,5.92857142857143,1860,12,0.727609485328037,2293.6561809139,2803,519799,33531,15560,0,85,24.6,78249,63974,11,2,3097,,30.2,22717,624,189,761335,,262789,670,3782,8026,9723,516,182982,26,60225,20.3,208303,1,0,22717,0,0,1.3,0.969932104752667,21951,0,651,0,7107,5,2132,5,78773,1886730,134,5,4259306.3699321,2
210,6.7741935483871,1445,9,1.82341154489834,1672.59760509329,2536,461716,30974,14403,0,85,27.1,72609,59412,11.4,2.1,2808,,31.1,21248,579,178,695142,,239985,587,3536,7609,8985,531,162620,29.3,60103,21.1,198292,1,0,21248,0,0,1.4,1.23633435535322,20561,0,573,0,6312,5,2112,5,73793,322890,102,5,2491669.73633436,1
189,6.3,1235,11,1.09502641456952,1442.39502641457,2393,430636,29646,14535,0,104,26.6,68716,50024,10.4,2.2,2669,,31.2,19875,601,183,652063,,226143,559,3275,7125,8417,499,151701,28.9,57138,20.3,184451,1,0,19875,0,0,1.4,13.3974358974359,19224,0,539,0,5923,5,2052,5,69465,1560,105,1,2029642.3974359,2
0,0,1046,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
226,2.75609756097561,1573,14,3.00893065784855,1818.76502821882,2776,226953,15129,23597,0,0,24.9,34673,44151,16.3,6.4,2535,,14.6,8211,1544,410,367457,,89039,12,179,4877,3020,123,140247,24.4,33199,26.6,130795,1,102,8211,0,0,1.9,0.489607791981911,8187,0,22,0,385,5,30,4,30481,114990,21,5,1291486.58960779,1
248,0.654353562005277,1347,15,1.90076604071384,1612.55511960272,2726,224192,14747,23076,0,0,18.2,34361,41426,15.6,6.4,2524,,14.5,8888,1540,410,359420,,89604,149,466,5028,3125,120,126453,17.5,32905,20.5,136260,1,108,8888,0,0,2,0,8848,0,38,0,485,5,30,4,30741,13770,21,5,1170458.7,1
0,0,1099,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,7705,0,0,7705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,7705,5,11.437908496732,7745.43790849673,2353,133113,14369,7212,0,270,71.4,20515,26817,16.8,3.2,2006,,12.3,2549,270,164,228939,,33635,65,306,1209,861,108,47349,72.1,11115,68.7,26629,1,52,2549,0,0,0.7,0.389714103178406,2457,0,92,0,1304,5,0,1,7303,62610,0,1,636474.589714103,2
17,4.25,7693,8,7.11814137419674,7729.3681413742,2356,133169,14383,7350,0,270,71.4,20526,26817,16.8,3.2,2007,,12.3,2551,272,166,229031,,33648,65,306,1211,861,108,47370,72,11115,68.7,26669,1,52,2551,0,0,0.7,0.453167384713579,2459,0,92,0,1304,5,0,1,7303,62670,0,1,636935.553167385,2
0,0,7676,0,0,7676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,7676,3,11.9047619047619,7714.90476190476,2320,131986,14204,7140,0,270,71.3,20313,26471,16.7,3.1,1990,,12.3,2530,266,161,226838,,33356,65,306,1201,850,108,46937,72,11057,68.6,26433,1,52,2530,0,0,0.7,0.0730193501277839,2440,0,90,0,1264,5,0,1,7268,54780,0,1,623478.77301935,1
13,6.5,7664,4,14.4796380090498,7701.97963800905,2320,131824,14204,7113,0,270,71.3,20313,26469,16.7,3.1,1990,,12.3,2535,264,159,226672,,33356,65,306,1206,850,108,46937,71.9,11057,68.6,26428,1,52,2535,0,0,0.7,0.00398009950248756,2445,0,90,0,1264,5,0,1,7268,50250,0,1,618602.603980099,2
